ID,Metric - Number of projections,Metric - Number of tables,Metric - Number of aggregation functions,Metric - Number of selections,Metric - Common projections number,Metric - Common selections number,Metric - Common aggregation functions number,Metric - Common tables number
0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,4.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0
2,4.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0
3,4.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0
4,4.0,1.0,4.0,0.0,4.0,0.0,4.0,1.0
5,4.0,1.0,4.0,0.0,4.0,0.0,4.0,1.0
6,1.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0
7,2.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0
8,3.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0
9,3.0,1.0,4.0,0.0,1.0,0.0,4.0,1.0
10,3.0,1.0,4.0,0.0,3.0,0.0,4.0,1.0
11,3.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0
12,3.0,1.0,5.0,0.0,2.0,0.0,5.0,1.0
13,3.0,1.0,5.0,0.0,1.0,0.0,5.0,1.0
14,3.0,1.0,5.0,0.0,3.0,0.0,5.0,1.0
15,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0
16,3.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0
17,3.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0
18,3.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0
19,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0
20,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0
21,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0
22,3.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0
23,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0
24,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0
25,3.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0
26,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0
27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
28,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
29,3.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0
30,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
31,3.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0
32,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0
33,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
34,67.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
36,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
37,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
38,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
40,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
42,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
43,67.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
44,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
45,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
46,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
47,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
48,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
49,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
51,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
52,2.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0
53,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
54,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
55,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
56,3.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0
57,2.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0
58,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0
59,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
61,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0
62,2.0,2.0,1.0,4.0,2.0,0.0,1.0,2.0
63,2.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0
64,2.0,2.0,1.0,5.0,2.0,4.0,1.0,2.0
65,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
66,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
67,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
68,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
69,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
70,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0
71,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0
72,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
73,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
74,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
75,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
76,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
77,9.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
78,9.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0
79,9.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0
80,9.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0
81,9.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0
82,9.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0
83,9.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0
84,9.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0
85,9.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0
86,9.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0
87,9.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0
88,9.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0
89,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
90,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
91,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,10.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0
93,10.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0
94,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
95,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0
96,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0
97,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0
98,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0
99,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0
100,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0
101,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
102,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0
103,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0
104,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0
105,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0
106,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0
107,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
108,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
109,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
110,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
111,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
112,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
113,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
114,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
116,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
117,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0
118,0.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0
119,0.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0
120,0.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0
121,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0
122,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0
123,0.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0
124,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
125,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
126,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
127,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
128,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
129,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
130,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
131,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0
132,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0
133,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0
134,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
135,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
136,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
137,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
138,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0
139,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0
140,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
141,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
142,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
143,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
144,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
147,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
148,6.0,1.0,0.0,2.0,6.0,1.0,0.0,1.0
149,6.0,1.0,0.0,3.0,6.0,1.0,0.0,1.0
150,6.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0
151,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
153,52.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
154,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
155,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
156,2.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0
157,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
158,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
159,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
162,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
163,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
164,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
165,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
166,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
167,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
168,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
169,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
171,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
172,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
173,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
174,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
175,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
176,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
177,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
